,Type,Name,Status,Date,Site,Ticket
0,Hiring Challenge,Türkiye Sigorta Hiring Challenge #3,True,8 Haziran,Coderspace,True
1,Hackathon-Datathon,Bursa Akıllı Şehir Deprem Hackathonu,True,11 Haziran,Coderspace,True
2,Meet-up,Product Management Camp,True,13 Haziran,Coderspace,True
3,Yetenek Programı,Install Future Programı,False,14 Mayıs,Coderspace,True
4,Yetenek Programı,Sabancı SEED Digital Genç Yetenek İşe Alım Programı,False,23 Nisan,Coderspace,True
5,Bootcamp,Akbank & Microsoft AI Academy Data Analyst Eğitimi,False,15 Mart,Coderspace,True
6,Hackathon-Datathon,Shell Datathon 2023,False,16 Mayıs,Coderspace,True
7,Yetenek Programı,Softtech Yetenek Kuşağı,False,28 Mayıs,Coderspace,True
8,BT Müfettiş Yardımcısı Olarak Görev Yapmak Üzere Takım Arkadaşları Arıyoruz,BT Müfettiş Yardımcısı,False,18/05/2023,TCMB,False
9,Bilişim Uzman Yardımcısı Olarak Görev Yapmak Üzere Takım Arkadaşları Arıyoruz,Bilişim Uzman Yardımcısı,False,18/05/2023,TCMB,False
10,Türkiye Cumhuriyet Merkez Bankasına Çevirmen Alınacaktır,,False,18/05/2023,TCMB,False
